away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points_1h,away_points_2h,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points_1h,home_points_2h,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
41.9,13,9.8,4,119.0,95.8,23,0.507,68,0.456,31,0.25,17,0.706,12,5,200,102.5,25.7,9,16,37,44,81,,13.9,11,0.279,19,0.368,7,54.2,32,0.532,12.7,11,49,0.49,24,0.545,6,"December 18, 2019",51.4,18,8.2,4,102.5,74.3,26,0.669,59,0.593,35,0.373,22,0.682,15,5,200,119.0,4.2,1,15,44,50,94,2,10.1,8,0.305,18,0.5,9,45.8,27,0.677,13.8,11,41,0.634,26,0.545,6,"McCarthey Athletic Center, Spokane, Washington",NORTH-CAROLINA,UNC,78.8,Home,GONZAGA,Gonzaga
61.1,11,2.8,1,101.4,67.4,29,0.318,66,0.273,18,0.091,6,0.667,4,6,200,66.7,15.2,7,19,20,26,46,,4.3,3,0.5,33,0.182,6,40.4,36,0.334,11.6,9,33,0.364,12,0.455,5,"December 18, 2019",44.0,11,15.2,5,66.7,84.8,39,0.468,63,0.397,25,0.27,17,0.647,11,6,200,101.4,32.6,14,13,28,42,70,3,2.9,2,0.429,27,0.333,9,59.6,53,0.492,12.4,10,36,0.444,16,0.455,5,"KFC Yum! Center, Louisville, Kentucky",MIAMI-OH,Miami (OH),69.0,Home,LOUISVILLE,Louisville
65.2,15,2.2,1,97.1,66.7,24,0.643,42,0.548,23,0.548,23,0.652,15,2,200,101.5,15.8,3,19,35,34,69,,2.9,2,0.357,15,0.533,8,49.1,27,0.652,22.3,15,27,0.556,15,0.818,9,"December 18, 2019",53.8,14,11.1,3,101.5,84.2,16,0.429,63,0.413,26,0.254,16,0.75,12,2,200,97.1,33.3,12,22,31,35,66,6,10.3,7,0.27,17,0.118,2,50.9,28,0.467,14.6,12,46,0.522,24,0.818,9,"T-Mobile Arena, Las Vegas, Nevada",KENTUCKY,Kentucky,67.8,Away,UTAH,Utah
47.4,9,5.3,2,109.5,70.4,19,0.404,52,0.365,19,0.212,11,0.545,6,6,200,64.9,3.1,1,17,24,24,48,,8.1,6,0.327,17,0.235,4,33.9,20,0.419,25.1,19,35,0.429,15,0.4,4,"December 18, 2019",59.4,19,5.7,2,64.9,96.9,31,0.61,59,0.542,32,0.288,17,0.529,9,6,200,109.5,29.6,8,10,37,44,81,8,16.2,12,0.356,21,0.381,8,66.1,39,0.604,17.4,14,38,0.632,24,0.4,4,"Matthew Knight Arena, Eugene, Oregon",MONTANA,Montana,74.2,Home,OREGON,Oregon
29.4,5,19.4,7,98.2,72.4,21,0.433,45,0.378,17,0.178,8,0.625,5,6,200,77.2,30.8,8,9,21,23,44,,14.0,8,0.467,21,0.238,5,52.7,29,0.451,22.4,14,24,0.5,12,0.538,7,"December 18, 2019",52.4,11,16.7,4,77.2,69.2,18,0.452,52,0.404,21,0.231,12,0.75,9,6,200,98.2,27.6,8,8,28,28,56,9,7.0,4,0.308,16,0.313,5,47.3,26,0.485,14.9,10,36,0.444,16,0.538,7,"John Paul Jones Arena, Charlottesville, Virginia",STONY-BROOK,Stony Brook,57.3,Home,VIRGINIA,Virginia
53.8,21,17.1,7,82.9,63.9,23,0.614,70,0.557,39,0.143,10,0.5,5,1,200,119.7,34.5,10,17,38,53,91,10,17.1,13,0.357,25,0.32,8,50.8,33,0.609,12.9,11,45,0.689,31,0.9,9,"December 18, 2019",33.3,7,8.9,4,119.7,65.5,19,0.4,60,0.35,21,0.35,21,0.714,15,1,200,82.9,36.1,13,13,30,33,63,,5.3,4,0.317,19,0.316,6,49.2,32,0.45,21.5,19,41,0.366,15,0.9,9,"Toyota Center, Houston, Texas",TENNESSEE-MARTIN,UT-Martin,75.9,Away,BAYLOR,Baylor
60.7,17,7.5,3,97.3,94.1,32,0.533,61,0.459,28,0.23,14,0.857,12,3,200,104.1,31.0,9,12,37,40,77,15,4.1,3,0.344,21,0.429,9,65.1,41,0.569,19.2,16,40,0.475,19,0.727,8,"December 18, 2019",57.7,15,10.0,4,104.1,69.0,20,0.5,61,0.426,26,0.246,15,0.733,11,3,200,97.3,5.9,2,15,27,45,72,,10.8,8,0.344,21,0.429,9,34.9,22,0.528,10.6,8,40,0.425,17,0.727,8,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,74.4,Away,MICHIGAN-STATE,Michigan State
40.0,8,5.0,2,131.4,54.8,17,0.358,60,0.333,20,0.083,5,1.0,5,0,200,68.6,30.3,10,22,27,21,48,,11.4,8,0.333,20,0.15,3,42.2,27,0.385,20.5,16,40,0.425,17,0.0,0,"December 18, 2019",72.7,24,12.5,5,68.6,69.7,23,0.603,63,0.524,33,0.349,22,0.727,16,0,200,131.4,45.2,14,12,45,47,92,20,20.0,14,0.365,23,0.435,10,57.8,37,0.626,14.2,12,40,0.575,23,0.0,0,"Viejas Arena, San Diego, California","San Diego Christian
			","San Diego Christian
			",69.9,Home,SAN-DIEGO-STATE,San Diego State
56.5,13,10.0,4,114.7,63.6,14,0.48,51,0.451,23,0.333,17,1.0,17,3,200,97.1,20.0,5,18,34,32,66,21,14.7,10,0.294,15,0.2,3,40.4,19,0.559,17.0,12,36,0.556,20,0.7,7,"December 18, 2019",54.8,17,5.6,2,97.1,80.0,20,0.609,55,0.564,31,0.291,16,0.688,11,3,200,114.7,36.4,8,16,38,40,78,,2.9,2,0.273,15,0.333,5,59.6,28,0.623,19.5,15,40,0.65,26,0.7,7,"Fifth Third Arena, Cincinnati, Ohio",TENNESSEE,Tennessee,67.8,Home,CINCINNATI,Cincinnati
75.0,18,7.7,3,91.0,84.6,22,0.55,50,0.48,24,0.6,30,0.733,22,5,200,98.7,27.6,8,22,31,46,77,,14.1,11,0.3,15,0.467,7,54.5,30,0.599,24.9,21,35,0.486,17,0.545,6,"December 18, 2019",59.1,13,11.4,4,98.7,72.4,21,0.49,48,0.458,22,0.542,26,0.923,24,5,200,91.0,15.4,4,27,29,42,71,,12.8,10,0.188,9,0.333,3,45.5,25,0.588,27.0,22,39,0.487,19,0.545,6,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,77.8,Away,ABILENE-CHRISTIAN,Abilene Christian
60.6,20,10.0,4,102.4,76.5,26,0.648,64,0.516,33,0.406,26,0.846,22,5,200,123.5,28.1,9,17,57,48,105,,11.8,10,0.531,34,0.5,17,53.0,35,0.688,17.5,16,30,0.533,16,0.5,5,"December 18, 2019",57.6,19,10.0,3,123.5,71.9,23,0.551,68,0.485,33,0.206,14,0.857,12,5,200,102.4,23.5,8,20,37,50,87,,7.1,6,0.412,28,0.321,9,47.0,31,0.583,20.4,19,40,0.6,24,0.5,5,"Legacy Arena, Birmingham, Alabama",SAMFORD,Samford,84.5,Away,ALABAMA,Alabama
